sorgente,rete_previsione,posizione,tipo_giorno,periodo_da,orario,giorni_mask,programma_listino
publitalia_listino,CAN5,ENTERTAINMENT: Produzione preserale 19:20,weekend,2025-01-05,19:20,,Produzione preserale 19:20
publitalia_listino,CAN5,ENTERTAINMENT: Produzione preserale 19:20,tutti,2026-06-28,19:20,,Produzione preserale 19:20
publitalia_listino,CAN5,ENTERTAINMENT: Produzione preserale 19:20,weekend,2025-06-29,19:20,,Produzione preserale 19:20
publitalia_listino,CAN5,ENTERTAINMENT: Produzione preserale 19:20,tutti,2026-01-04,19:20,,Produzione preserale 19:20
publitalia_listino,CAN5,ENTERTAINMENT: Produzione preserale 19:20,tutti,2025-06-29,19:20,,Produzione preserale 19:20
publitalia_listino,CAN5,ENTERTAINMENT: Produzione preserale 19:20,weekend,2026-01-04,19:20,,Produzione preserale 19:20
publitalia_listino,CAN5,ENTERTAINMENT: Produzione preserale 19:20,tutti,2025-01-05,19:20,,Produzione preserale 19:20
publitalia_listino,CAN5,ENTERTAINMENT: Produzione preserale 19:20,weekend,2025-05-04,19:20,,Produzione preserale 19:20
publitalia_listino,CAN5,ENTERTAINMENT: Sarabanda preserale 19:20,weekend,2025-08-31,19:20,,Sarabanda preserale 19:20
publitalia_listino,CAN5,ENTERTAINMENT: Produzione preserale 19:20,tutti,2026-05-03,19:20,,Produzione preserale 19:20
publitalia_listino,CAN5,ENTERTAINMENT: Produzione preserale 19:20,weekend,2026-06-28,19:20,,Produzione preserale 19:20
publitalia_listino,CAN5,ENTERTAINMENT: Produzione preserale 19:20,weekend,2026-05-03,19:20,,Produzione preserale 19:20
publitalia_listino,CAN5,ENTERTAINMENT: Avanti un altro Bonolis 19:20,weekend,2025-05-04,19:20,,Avanti un altro Bonolis 19:20
publitalia_listino,CAN5,ENTERTAINMENT: The wall 19:20,weekend,2024-09-01,19:20,,The wall 19:20
